IATA,Countries,Cities
LAR, Estados Unidos,Laramie
LAS, Estados Unidos,Las Vegas
LAU, Kenia,Lamu
LAW, Estados Unidos,Lawton
LAX, Estados Unidos,Los Angeles
LBA, Reino Unido,Leeds
LBB, Estados Unidos,Lubbock
LBD, Tayikistan,Judzhant
LBE, Estados Unidos,Latrobe
LBF, Estados Unidos,North Platte
LBJ, Indonesia,Labuan Bajo
LBL, Estados Unidos,Liberal
LBP, Malasia,Long Banga
LBR, Brasil,Labrea
LBS, Fiji,Labasa
LBU, Malasia,Labuan
LBV, Gabon,Libreville
LCA, Chipre,Larnaca
LCE, Honduras,La Ceiba
LCG, Espana,La Coruna
LCH, Estados Unidos,Lake Charles
LCJ, Polonia,odz
LCK, Estados Unidos,Columbus
LCX, China,Longyan
LCY, Reino Unido,Londres
LDB, Brasil,Londrina
LDE, Francia,Lourdes
LDH, Australia,Isla de Lord Howe
LDS, China,Yichun
LDU, Malasia,Lahad Datu
LDY, Reino Unido,Derry
LDZ, Sudafrica,Londolozi Private Game Reserve
LEA, Australia,Exmouth
LEB, Estados Unidos,Lebanon
LED, Rusia,San Petersburgo
LEI, Espana,Almeria
LEJ, Alemania,Leipzig
LEN, Espana,Leon
LEQ, Reino Unido,Land's End
LET, Colombia,Leticia
LEU, Espana,La Seu d'Urgell
LEX, Estados Unidos,Lexington
LFM, Corri,Lamerd
LFQ, China,Linfen
LFR, Venezuela,La Fria
LFT, Estados Unidos,Lafayette
LFW, Ir,Lome
LGA, Estados Unidos,Nueva York
LGB, Estados Unidos,Long Beach
LGG, Belgica,Lieja
LGI, Bahamas,Deadman's Cay Settlement
LGK, Malasia,Archipielago Langkawi
LGL, Malasia,Long Lellang
LGP, Filipinas,Legazpi
LGW, Reino Unido,Londres
LHE, Pakistan,Lahore
LHG, Australia,Lightning Ridge
LHR, Reino Unido,Londres
LHW, China,Lanzhou
LIF, Nueva Caledonia,Lifou Island
LIG, Francia,Limoges
LIH, Estados Unidos,Kauai
LIL, Francia,Lille
LIM, Peru,Lima
LIN, Italia,Milan
LIO, Costa Rica,Limon
LIR, Costa Rica,Liberia
LIS, Portugal,Lisboa
LIT, Estados Unidos,Little Rock
LIW, Myanmar (Burma),Loikaw
LIX, Malawi,Likoma Island
LJG, China,Lijiang
LJU, Eslovenia,Liubliana
LKA, Indonesia,Larantuka
LKB, Fiji,Lakeba
LKH, Malasia,Long Akah
LKL, Noruega,Lakselv
LKN, Noruega,Leknes
LKO, India,Lucknow
LKY, Tanzania,Lago Manyara
LLA, Suecia,Lulea
LLB, China,Libo County
LLF, China,Yongzhou
LLI, Etiopia,Lalibela
LLJ, Indonesia,Lubuklinggau
LLK, Azerbaiyan,Lankaran
LLO, Indonesia,Palopo
LLU, Groenlandia,Alluitsup Paa
LLV, China,Luliang
LLW, Malawi,Lilongue
LMA, Estados Unidos,Lake Minchumina
LMC, Colombia,La Macarena
LMM, Mexico,Los Mochis
LMN, Malasia,Limbang
LMP, Italia,Lampedusa
LMU, Indonesia,Anambas
LNB, Vanuatu,Lamen Bay
LNE, Vanuatu,Lonorore
LNJ, China,Lincang
LNK, Estados Unidos,Lincoln
LNL, China,Longnan
LNO, Australia,Leonora
LNS, Estados Unidos,Lancaster
LNY, Estados Unidos,Lanai
LNZ, Austria,Linz
LOD, Vanuatu,Longana
LOE, Tailandia,Provincia de Loei
LOH, Ecuador,Loja
LOK, Kenia,Lodwar
LOO, Argelia,Laghouat
LOP, Lombok,Praya
LOS, Nigeria,Lagos
LOY, Kenia,Loiyangalani
LPA, Espana,Las Palmas de Gran Canaria
LPB, Bolivia,La Paz
LPF, China,Liupanshui
LPI, Suecia,Linkoping
LPK, Rusia,Lipetsk
LPL, Reino Unido,Liverpool
LPM, Vanuatu,Lamap
LPP, Finlandia,Lappeenranta
LPQ, Laos,Luang Prabang
LPT, Tailandia,Lampang Province
LPY, Francia,Le Puy-en-Velay
LQM, Colombia,Puerto Leguizamo
LRD, Estados Unidos,Laredo
LRE, Australia,Longreach
LRH, Francia,La Rochelle
LRM, Republica Dominicana,La Romana
LRR, Corri,Lar
LRS, Grecia,Leros
LRT, Francia,Lorient
LRV, Venezuela,Los Roques archipelago
LSC, Chile,La Serena
LSE, Estados Unidos,La Crosse
LSH, Myanmar (Burma),Lashio
LSI, Reino Unido,Shetland Islands
LSP, Venezuela,Las Piedras
LSQ, Chile,Los Angeles
LST, Australia,Launceston
LSY, Australia,Lismore
LTI, Mongolia,Altai
LTM, Guayana,Lethem
LTN, Reino Unido,Londres
LTO, Mexico,Loreto
LUA, Nepal,Lukla
LUK, Estados Unidos,Cincinnati
LUM, China,Mang City
LUN, Zambia,Lusaka
LUO, Angola,Luena
LUP, Estados Unidos,Kalaupapa
LUQ, Argentina,San Luis
LUR, Alaska,Cape Lisburne
LUV, Indonesia,Langgur
LUW, Indonesia,Luwuk
LUX, Luxemburgo,Luxembourg
LUZ, Polonia,Lublin
LVI, Zambia,Livingstone
LVO, Australia,Laverton
LWB, Estados Unidos,Lewisburg
LWE, Indonesia,Lewoleba
LWK, Reino Unido,Lerwick
LWN, Armenia,Guiumri
LWO, Ucrania,Leopolis
LWS, Estados Unidos,Lewiston
LWY, Malasia,Lawas
LXA, China,Lhasa
LXG, Laos,Luang Namtha
LXR, Egipto,Luxor
LXS, Grecia,Lemnos
LYA, China,Luoyang
LYB, Islas Caiman,Little Cayman
LYC, Suecia,Lycksele
LYG, China,Lianyungang
LYH, Estados Unidos,Lynchburg
LYI, China,Linyi
LYP, Pakistan,Faisalabad District
LYR, Noruega,Longyearbyen
LYS, Francia,Lyon
LZC, Mexico,Lazaro Cardenas
LZH, China,Liuzhou
LZN, Lienchiang,Nangan
LZO, China,Luzhou
LZY, China,Nyingchi
MAA, India,Chennai
MAB, Brasil,Maraba
MAD, Espana,Madrid
MAF, Estados Unidos,Midland
MAG, Papua Nueva Guinea,Madang
MAH, Espana,Menorca
MAJ, Islas Marshall,Majuro
MAK, Sudan del Sur,Malakal
MAM, Mexico,Heroica Matamoros
MAN, Reino Unido,Manchester
MAO, Brasil,Manaus
MAQ, Tailandia,Mae Sot District
MAR, Venezuela,Maracaibo
MAS, Papua Nueva Guinea,Manus Island
MAU, Polinesia frances,Maupiti
MAZ, Puerto Rico,Mayaguez
MBA, Kenia,Mombasa
MBE, Japon,Mombetsu
MBI, Tanzania,Mbeya
MBJ, Jamaica,Montego Bay
MBL, Estados Unidos,Manistee
MBQ, Uganda,Mbarara
MBS, Estados Unidos,Saginaw
MBT, Filipinas,Masbate
MBZ, Brasil,Maues
MCE, Estados Unidos,Merced
MCG, Estados Unidos,McGrath
MCI, Estados Unidos,Kansas City
MCK, Estados Unidos,McCook
MCN, Estados Unidos,Macon
MCO, Estados Unidos,Orlando
MCP, Brasil,Macapa
MCT, Oman,Mascate
MCV, Australia,McArthur River zinc mine
MCW, Estados Unidos,Mason City
MCX, Rusia,Majachkala
MCY, Australia,Sunshine Coast Region
MCZ, Brasil,Maceio
MDC, Indonesia,Manado
MDE, Colombia,Medellin
MDG, China,Mudanjiang
MDI, Nigeria,Makurdi
MDK, Republica Democratica del Congo,Mbandaka
MDL, Myanmar (Burma),Mandalay
MDQ, Argentina,Mar del Plata
MDR, Kenia,Maasai Mara
MDT, Estados Unidos,Harrisburg
MDW, Estados Unidos,Chicago
MDZ, Argentina,Mendoza
MEA, Brasil,Macae
MEB, Australia,Melbourne
MEC, Ecuador,Manta
MED, Arabia Saudita,Medina
MEE, Nueva Caledonia,Mare
MEH, Noruega,Mehamn
MEI, Estados Unidos,Meridian
MEL, Australia,Melbourne
MEM, Estados Unidos,Memphis
MEU, Brasil,Almeirim
MEX, Mexico,Ciudad de Mexico
MFA, Tanzania,Isla de Mafia
MFE, Estados Unidos,McAllen
MFK, Taiwan,Islas Matsu
MFM, macao,Macau
MFR, Estados Unidos,Medford
MFU, Zambia,Mfuwe
MGA, Nicaragua,Managua
MGB, Australia,Mount Gambier
MGF, Brasil,Maringa
MGH, Sudafrica,Margate
MGM, Estados Unidos,Montgomery
MGQ, Somalia,Mogadiscio
MGT, Australia,Milingimbi Island
MGW, Estados Unidos,Morgantown
MGZ, Myanmar (Burma),Myeik
MHC, Chile,Castro
MHD, Corri,Mashhad
MHG, Alemania,Mannheim
MHH, Bahamas,Marsh Harbour
MHK, Estados Unidos,Manhattan
MHM, Islas Salomon,Manaoba
MHQ, Finlandia,Mariehamn
MHT, Estados Unidos,Manchester
MIA, Estados Unidos,Miami
MID, Mexico,Merida
MIG, China,Mianyang
MII, Brasil,Marilia
MIM, Australia,Merimbula
MIR, Tunez,Monastir
MIS, Papua Nueva Guinea,Misima Island
MIU, Nigeria,Maiduguri
MJC, Costa de Marfil,Man
MJD, Pakistan,Mohenjodaro
MJF, Noruega,Mosjen
MJI, Libia,Tripoli
MJK, Australia,Monkey Mia
MJM, Republica del Congo,Mbuji Mayi
MJN, Madagascar,Mahajanga
MJT, Grecia,Mytilene
MJU, Indonesia,Mamuju Regency
MJZ, Rusia,Mirni
MKE, Estados Unidos,Milwaukee
MKG, Estados Unidos,Muskegon
MKK, Estados Unidos,Hoolehua
MKL, Estados Unidos,Jackson
MKM, Malasia,Mukah
MKP, Polinesia frances,Makemo
MKQ, Indonesia,Merauke
MKR, Australia,Meekatharra
MKW, Indonesia,Manokwari
MKY, Australia,Mackay
MLA, Malta,Malta
MLB, Estados Unidos,Melbourne
MLE, Maldivas,Male
MLG, Indonesia,Malang
MLI, Estados Unidos,Moline
MLL, Estados Unidos,Marshall
MLM, Mexico,Morelia
MLN, Espana,Melilla
MLO, Milos,Plaka
MLU, Estados Unidos,Monroe
MLX, pavo,Malatya
MMB, Japon,Memanbetsu
MME, Reino Unido,Durham
MMG, Australia,Mount Magnet
MMH, Estados Unidos,Mammoth Lakes
MMJ, Japon,Matsumoto
MMK, Rusia,Murmansk
MMX, Suecia,Malmo
MMY, Japon,Miyakojima
MNC, Mozambique,Nacala
MNG, Australia,Maningrida
MNI, Reino Unido,Montserrat
MNK, Kiribati,Maiana
MNL, Filipinas,Manila
MNS, Zambia,Mansa
MNY, Islas Salomon,Stirling Island
MOB, Estados Unidos,Mobile
MOC, Brasil,Montes Claros
MOF, Indonesia,Maumere
MOH, India,Dibrugarh
MOL, Noruega,Molde
MOQ, Madagascar,Morondava
MOT, Estados Unidos,Minot
MOU, Estados Unidos,Mountain Village
MOV, Australia,Moranbah
MOZ, Polinesia frances,Mo orea
MPA, Namibia,Katima Mulilo
MPH, Filipinas,Caticlan
MPL, Francia,Montpellier
MPM, Mozambique,Maputo
MPN, Islas Malvinas (Islas Malvinas),Monte Agradable
MQF, Rusia,Magnitogorsk
MQJ, Rusia,Khonuu
MQL, Australia,Mildura
MQM, pavo,Mardin
MQN, Noruega,Mo i Rana
MQP, Sudafrica,Nelspruit
MQQ, Chad,Moundou
MQT, Estados Unidos,Marquette
MQX, Etiopia,Mekele
MRA, Libia,Misurata
MRE, Kenia,Masai Mara
MRI, Estados Unidos,Anchorage
MRQ, Filipinas,Marinduque
MRS, Francia,Marsella
MRU, Isla mauricio,Isla de Mauricio
MRV, Rusia,Mineralnye Vody
MRY, Estados Unidos,Monterrey
MRZ, Australia,Moree
MSA, Canada,Muskrat Dam
MSJ, Japon,Misawa
MSL, Estados Unidos,Muscle Shoals
MSN, Estados Unidos,Madison
MSO, Estados Unidos,Missoula
MSP, Estados Unidos,Minneapolis
MSQ, Bielorrusia,Minsk
MSR, pavo,Mus
MSS, Estados Unidos,Massena
MST, Paises Bajos,Maastricht
MSU, Lesoto,Maseru
MSY, Estados Unidos,Nueva Orleans
MSZ, Angola,Namibe
MTE, Brasil,Monte Alegre
MTJ, Estados Unidos,Montrose
MTK, Kiribati,Makin
MTM, Estados Unidos,Metlakatla
MTR, Colombia,Monteria
MTT, Mexico,Minatitlan
MTV, Vanuatu,Mota Lava
MTY, Mexico,Monterrey
MUA, Solomon Islands,Munda
MUB, Botswana,Maun
MUC, Alemania,Munich
MUE, Estados Unidos,Waimea
MUN, Venezuela,Maturin
MUR, Malasia,Marudi
MUX, Pakistan,Multan
MUZ, Tanzania,Musoma
MVB, Gabon,Franceville
MVD, Uruguay,Montevideo
MVF, Brasil,Mossoro
MVP, Colombia,Mitu
MVR, Camerun,Maroua
MVT, Polinesia frances,Mataiva
MVY, Estados Unidos,Martha's Vineyard
MWA, Estados Unidos,Marion
MWF, Vanuatu,Maewo
MWQ, Myanmar (Burma),Magway
MWZ, Tanzania,Mwanza
MXH, Papua Nueva Guinea,Iagifu Ridge Camp
MXL, Mexico,Mexicali
MXP, Italia,Milan
MXZ, China,Meizhou
MYA, Australia,Moruya
MYD, Kenia,Malindi
MYG, Bahamas,Mayaguana
MYI, Australia,Murray Island
MYJ, Japon,Matsuyama
MYP, Turkmenistan,Mary
MYQ, India,Mysore
MYR, Estados Unidos,Myrtle Beach
MYT, Myanmar (Burma),Myitkyina
MYU, Estados Unidos,Mekoryuk
MYW, Tanzania,Mtwara
MYY, Malasia,Miri
MZA, India,Muzaffarnagar
MZG, Taiwan,Magong
MZH, pavo,Amasya
MZK, Kiribati,Marakei
MZL, Colombia,Manizales
MZR, Afganistan,Mazar-e Sarif
MZT, Mexico,Mazatlan
MZV, Malasia,Gunung Mulu National Park
MZW, Argelia,Mechria
NAA, Australia,Narrabri
NAG, India,Nagpur
NAJ, Azerbaiyan,Najichevan
NAL, Rusia,Nalchik
NAM, Indonesia,Namlea-Buru Island
NAN, Fiji,Nadi
NAO, China,Nanchong
NAP, Italia,Napoles
NAQ, Groenlandia,Qaanaaq
NAS, Bahamas,Nasau
NAT, Brasil,Natal
NAU, Polinesia frances,Napuka
NAV, pavo,Nevsehir
NAW, Tailandia,Provincia de Narathiwat
NBC, Rusia,Nizhnekamsk
NBE, Tunez,Enfidha
NBO, Kenia,Nairobi
NBS, China,Baishan
NBX, Indonesia,Nabire Regency
NCE, Francia,Niza
NCL, Reino Unido,Newcastle upon Tyne
NCN, Estados Unidos,Chenega
NCU, Uzbekistan,Nukus
NDB, Mauritania,Nuadibu
NDC, India,Nanded
NDG, China,Qiqihar
NDJ, Chad,Yamena
NDK, Islas Marshall,Namorik Atoll
NDR, Marruecos,Nador
NDU, Namibia,Rundu
NEI, Rusia,Terney
NER, Rusia,Neriungri
NEU, Laos,Sam Neua
NEV, St. Kitts y Nevis,Isla Nieves
NGB, China,Ningbo
NGE, Camerun,Ngaoundere
NGK, Rusia,Nogliki
NGO, Japon,Nagoya
NGQ, China,Ngari
NGS, Japon,Nagasaki
NHV, Polinesia frances,Nuku Hiva
NIB, Estados Unidos,Nikolai
NIG, Kiribati,Nikunau
NIM, Niger,Niamey
NIQ, Groenlandia,Niaqornat
NIU, Polinesia frances,Niau
NJC, Rusia,Nijnevatorsk
NJF, Irak,Nayaf
NKC, Mauritania,Nuakchot
NKG, China,Nankin
NKI, Estados Unidos,Naukiti
NKM, Japon,Nagoya
NKT, pavo,Srnak
NLA, Zambia,Ndola
NLD, Mexico,Nuevo Laredo
NLF, Australia,Darnley
NLH, China,Ninglang
NLI, Rusia,Nikolayevsk-on-Amur
NLK, Isla Norfolk,Burnt Pine
NLT, China,Xinyuan County
NLU, Mexico,
NLV, Ucrania,Mykolaiv
NMA, Uzbekistan,Namangan
NME, Estados Unidos,Nightmute
NMF, Maldivas,Maafaru
NNB, Islas Salomon,Santa Ana Island
NNG, China,Nanning
NNL, Estados Unidos,Nondalton
NNM, Rusia,Narian-Mar
NNT, Tailandia,Provincia de Nan
NNY, China,Nanyang
NOB, Costa Rica,Nosara
NOC, Irlanda,Knock
NOJ, Rusia,Noyabrsk
NON, Kiribati,Nonouti
NOP, pavo,Sinope
NOS, Madagascar,Nosy Be
NOU, Nueva Caledonia,Numea
NOZ, Rusia,Novokuznetsk
NPE, Nueva Zelanda,Napier
NPL, Nueva Zelanda,Nueva Plymouth
NPY, Tanzania,Mpanda
NQN, Argentina,Neuquen
NQU, Colombia,Nuqui
NQY, Reino Unido,Newquay
NQZ, Kazajstan,Nur-Sultan
NRA, Australia,Narrandera
NRN, Alemania,Dusseldorf
NRR, Puerto Rico,Roosevelt Roads
NRT, Japon,Tokio
NSH, Corri,Noshahr
NSI, Camerun,Yaunde
NSK, Rusia,Norilsk
NSN, Nueva Zelanda,Nelson
NSQ, Groenlandia,Nuussuaq
NST, Tailandia,Provincia de Nakhon Si Thammarat
NTE, Francia,Nantes
NTG, China,Nantong
NTL, Australia,City of Newcastle
NTN, Australia,Normanton
NTQ, Japon,Wajima
NTX, Indonesia,Natuna
NUE, Alemania,Nuremberg
NUF, Sri Lanka,Hatton
NUI, Estados Unidos,Nuiqsut
NUK, Polinesia frances,Nukutavake
NUL, Estados Unidos,Nulato
NUM, Arabia Saudita,Neom
NUP, Estados Unidos,Nunapitchuk
NUS, Vanuatu,Norsup
NUX, Rusia,Novi Urengoi
NVA, Colombia,Neiva
NVI, Uzbekistan,Navoi
NVT, Brasil,Navegantes
NWA, Comoras,Moheli
NWI, Reino Unido,Norwich
NYA, Rusia,Niagan
NYK, Kenia,Nanyuki
NYM, Rusia,Nadym
NYO, Suecia,Estocolmo
NYR, Rusia,Niurba
NYT, Myanmar (Burma),Naipyido
NYU, Myanmar (Burma),Bagan
NYW, Myanmar (Burma),Monywa
NZH, China,Manzhouli
NZL, China,Zhalantun
OAG, Australia,Orange
OAJ, Estados Unidos,Jacksonville
OAK, Estados Unidos,Oakland
OAX, Mexico,Oaxaca de Juarez
OAZ, Afganistan,Shorabak
OBI, Brasil,Obidos
OBN, Reino Unido,Oban
OBO, Japon,Obihiro
OBU, Estados Unidos,Kobuk
OBY, Groenlandia,Ittoqqortoormiit
OCC, Ecuador,Puerto Francisco de Orellana
ODN, Malasia,Long Seridan
ODO, Rusia,Bodaibo
ODS, Ucrania,Odesa
ODY, Laos,Muang Xay
OER, Suecia,Ornskoldsvik
OGD, Estados Unidos,Ogden
OGG, Estados Unidos,Kahului
OGL, Guayana,Georgetown
OGS, Estados Unidos,Ogdensburg
OGU, pavo,Giresun
OGX, Argelia,Ouargla
OGZ, Rusia,Vladicaucaso
OHD, Republica de Macedonia del Norte,Ohrid
OHH, Rusia,Oja
OHS, Oman,Sohar
OIR, Japon,Okushiri
OIT, Japon,Oita
OKA, Japon,Isla de Okinawa
OKC, Estados Unidos,Oklahoma City
OKD, Japon,Sapporo
OKE, Japon,Okinoerabujima
OKI, Japon,Islas Oki
OKJ, Japon,Okayama
OKR, Australia,Yorke
OLA, Noruega,rland
OLB, Italia,Olbia
OLF, Estados Unidos,Wolf Point
OLG, Kenia,Olare
OLH, Estados Unidos,Old Harbor
OLP, Australia,Olympic Dam
OLX, Kenia,Masai Mara
OLZ, Rusia,Oliokminsk
OMA, Estados Unidos,Omaha
OME, Estados Unidos,Nome
OMH, Corri,Urmieh
OMR, Rumania,Oradea
OMS, Rusia,Omsk
OND, Namibia,Ondangua
ONG, Australia,Isla Mornington
ONJ, Japon,Odate
ONK, Rusia,Olenyok
ONQ, pavo,Zonguldak
ONS, Australia,Onslow
ONT, Estados Unidos,Ontario
OOK, Estados Unidos,Toksook Bay
OOL, Australia,Gold Coast
OOM, Australia,Cooma
OOT, Kiribati,Onotoa
OPO, Portugal,Oporto
OPS, Brasil,Sinop
ORB, Suecia,Orebro
ORD, Estados Unidos,Chicago
ORF, Estados Unidos,Norfolk
ORG, Surinam,Paramaribo
ORH, Estados Unidos,Worcester
ORI, Estados Unidos,Port Lions
ORK, Irlanda,Cork
ORN, Argelia,Oran
ORT, Estados Unidos,Northway
ORU, Bolivia,Oruro
ORV, Estados Unidos,Noorvik
ORX, Brasil,Oriximina
ORY, Francia,Paris
OSD, Suecia,Ostersund
OSI, Croacia,Osijek
OSJ, Kenia,Ol Seki
OSL, Noruega,Oslo
OSR, Chequia,Ostrava
OSS, Kirguizistan,Osh
OST, Belgica,Ostende
OSW, Rusia,Orsk
OSY, Noruega,Namsos
OTH, Estados Unidos,North Bend
OTI, Indonesia,Morotai
OTP, Rumania,Bucarest
OTZ, Estados Unidos,Kotzebue
OUA, Burkina Faso,Uagadugu
OUD, Marruecos,Uchda
OUI, Francia,
OUL, Finlandia,Oulu
OUZ, Mauritania,Zuerate
OVB, Rusia,Novosibirsk
OVD, Espana,Asturias
OVS, Rusia,Sovetsky
OWB, Estados Unidos,Owensboro
OWD, Estados Unidos,Norwood
OXB, Guinea-Bissau,Bisau
OZC, Filipinas,Ozamiz
OZG, Marruecos,Zagora
OZH, Ucrania,Zaporiyia
OZZ, Marruecos,Uarzazat
PAB, India,Bilaspur
PAC, Panama,Panama
PAD, Alemania,Paderborn
PAE, Estados Unidos,Everett
PAF, Uganda,Pakuba
PAG, Filipinas,Pagadian
PAH, Estados Unidos,Paducah
PAP, Haiti,Puerto Principe
PAS, Grecia,Parikia
PAT, India,Patna
PAZ, Mexico,Poza Rica de Hidalgo
PBC, Mexico,Municipio de Puebla
PBD, India,Porbandar
PBG, Estados Unidos,Plattsburgh
PBH, Butan,Paro
PBI, Estados Unidos,West Palm Beach
PBJ, Vanuatu,Paama
PBM, Surinam,Paramaribo
PBO, Australia,Paraburdoo
PBR, Guatemala,Puerto Barrios
PBU, Myanmar (Burma),Putao
PBZ, Sudafrica,Plettenberg Bay
PCL, Peru,Pucallpa
PCN, Nueva Zelanda,Picton
PCP, Santo Tome y Principe,Principe Island
PCQ, Laos,Phongsali
PCR, Colombia,Puerto Carreno
PDA, Colombia,Inirida
PDB, Estados Unidos,Pedro Bay
PDG, Indonesia,Padang
PDK, Estados Unidos,Atlanta
PDL, Portugal,Ponta Delgada
PDP, Uruguay,Punta del Este
PDS, Mexico,Piedras Negras
PDT, Estados Unidos,Pendleton
PDV, Bulgaria,Plovdiv
PDX, Estados Unidos,Portland
PEC, Estados Unidos,Pelican
PED, Chequia,Pardubice
PEE, Rusia,Perm
PEG, Italia,Perugia
PEI, Colombia,Pereira
PEK, China,Pekin
PEM, Peru,Puerto Maldonado
PEN, Malasia,Penang
PER, Australia,Perth
PES, Rusia,Petrozavodsk
PET, Brasil,Pelotas
PEU, Honduras,Puerto Lempira
PEW, Pakistan,Peshawar
PEX, Rusia,Pechora
PEZ, Rusia,Penza
PFB, Brasil,Passo Fundo
PFO, Chipre,Pafos
PFQ, Corri,Parsabad
PGA, Estados Unidos,Page
PGD, Estados Unidos,Punta Gorda
PGF, Francia,Perpinan
PGH, India,Pantnagar
PGK, Indonesia,Pangkal Pinang
PGM, Estados Unidos,Port Graham
PGQ, Indonesia,Buli
PGU, Corri,Assaluyeh
PGV, Estados Unidos,Greenville
PGZ, Brasil,Ponta Grossa
PHB, Brasil,Parnaiba
PHC, Nigeria,Port Harcourt
PHE, Australia,Port Hedland
PHF, Estados Unidos,Newport News
PHL, Estados Unidos,Filadelfia
PHO, Estados Unidos,Point Hope
PHS, Tailandia,Phitsanulok
PHX, Estados Unidos,Phoenix
PIA, Estados Unidos,Peoria
PIB, Estados Unidos,Laurel
PIE, Estados Unidos,Tampa
PIH, Estados Unidos,Pocatello
PIK, Reino Unido,Glasgow
PIN, Brasil,Parintins
PIR, Estados Unidos,Pierre
PIS, Francia,Poitiers
PIT, Estados Unidos,Pittsburgh
PIU, Peru,Piura
PIX, Portugal,Pico Island
PIZ, Estados Unidos,Point Lay
PJA, Suecia,Pajala
PJM, Costa Rica,Puerto Jimenez
PKA, Estados Unidos,Napaskiak
PKB, Estados Unidos,Parkersburg
PKC, Rusia,Petropavlovsk-Kamchatski
PKE, Australia,Parkes
PKN, Indonesia,Pangkalan Bun
PKP, Polinesia frances,Puka-Puka
PKR, Nepal,Pokhara
PKU, Indonesia,Pekanbaru
PKV, Rusia,Pskov
PKX, China,Pekin
PKY, Indonesia,Palangkaraya
PKZ, Laos,Pakse
PLJ, Belice,Placencia
PLM, Indonesia,Palembang
PLN, Estados Unidos,Pellston
PLO, Australia,Port Lincoln
PLQ, Lituania,Palanga
PLS, Turks y Caicos,Providenciales
PLW, Indonesia,Palu
PLZ, Sudafrica,Puerto Elizabeth
PMA, Tanzania,Pemba Island
PMC, Chile,Puerto Montt
PMF, Italia,Parma
PMG, Brasil,Ponta Pora
PMI, Espana,Palma
PMK, Australia,Palm Island
PMO, Italia,Palermo
PMR, Nueva Zelanda,Palmerston North
PMV, Venezuela,Porlamar
PMW, Brasil,Palmas
PMY, Argentina,Puerto Madryn
PNA, Espana,Pamplona
PND, Belice,Punta Gorda
PNH, Camboya,Nom Pen
PNI, micronesia,Pohnpei
PNK, Indonesia,Pontianak
PNL, Italia,Pantelleria
PNP, Papua Nueva Guinea,Popondetta
PNQ, India,Pune
PNR, Republica del Congo,Pointe-Noire
PNS, Estados Unidos,Pensacola
PNT, Chile,Puerto Natales
PNZ, Brasil,Petrolina
POA, Brasil,Porto Alegre
POG, Gabon,Port-Gentil
POI, Bolivia,Potosi
POL, Mozambique,Pemba
POM, Papua Nueva Guinea,Puerto Moresby
POP, Republica Dominicana,San Felipe de Puerto Plata
POR, Finlandia,Pori
POS, Trinidad y Tobago,Puerto Espana
POZ, Polonia,Poznan
PPB, Brasil,Presidente Prudente
PPG, Samoa Americana,Pago Pago
PPK, Kazajstan,Petropavl
PPN, Colombia,Popayan
PPP, Australia,Proserpine
PPQ, Nueva Zelanda,Paraparaumu
PPS, Filipinas,Puerto Princesa
PPT, Polinesia frances,Tahiti
PPV, Estados Unidos,Port Protection
PQC, Vietnam,Phu Quoc
PQI, Estados Unidos,Presque Isle
PQQ, Australia,Port Macquarie
PQS, Estados Unidos,Pilot Station
PQT, Groenlandia,Qeqertaq
PRA, Argentina,Parana
PRC, Estados Unidos,Prescott
PRG, Chequia,Praga
PRH, Tailandia,Provincia de Phrae
PRI, Seychelles,Praslin
PRM, Portugal,Portimao
PRN, Serbia,Pristina
PRS, Islas Salomon,Parasi
PSA, Italia,Pisa
PSC, Estados Unidos,Pasco
PSE, Puerto Rico,Ponce
PSG, Estados Unidos,Petersburg
PSJ, Indonesia,Poso
PSM, Estados Unidos,Portsmouth
PSO, Colombia,Pasto
PSP, Estados Unidos,Palm Springs
PSR, Italia,Pescara
PSS, Argentina,Posadas
PSU, Indonesia,Putussibau
PTA, Estados Unidos,Port Alsworth
PTG, Sudafrica,Polokwane
PTO, Brasil,Pato Branco
PTP, Guadalupe,Pointe-a-Pitre
PTU, Estados Unidos,Platinum
PTX, Colombia,Pitalito
PTY, Panama,Panama
PUB, Estados Unidos,Pueblo
PUF, Francia,Pau
PUJ, Republica Dominicana,Punta Cana
PUK, Polinesia frances,Pukarua
PUQ, Chile,Punta Arenas
PUS, Corea del Sur,Busan
PUU, Colombia,Puerto Asis
PUW, Estados Unidos,Pullman
PUY, Croacia,Pula
PUZ, Nicaragua,Puerto Cabezas
PVA, Colombia,Providencia Island
PVC, Estados Unidos,Provincetown
PVD, Estados Unidos,Providence
PVG, China,Shanghai
PVH, Brasil,Porto Velho
PVK, Grecia,Preveza
PVR, Mexico,Puerto Vallarta
PVU, Estados Unidos,Provo
PWE, Rusia,Pevek
PWL, Indonesia,Purwokerto
PWM, Estados Unidos,Portland
PWQ, Kazajstan,Pavlodar
PXM, Mexico,Puerto Escondido
PXO, Portugal,Porto Santo
PXU, Vietnam,Pleiku
PYG, India,Gangtok
PYJ, Rusia,Udachni
PZB, Sudafrica,Pietermaritzburg
PZI, China,Panzhihua
PZL, Sudafrica,Phinda Private Game Reserve
PZO, Venezuela,Puerto Ordaz
PZU, Sudan,Puerto
QBC, Canada,Bella Coola
QCU, Groenlandia,Akunnaaq
QDV, Brasil,Jundiai
QFI, Groenlandia,Iginniarfik
QFN, Groenlandia,Narsaq Kujalleq
QGQ, Groenlandia,Attu
QJE, Groenlandia,Kitsissuarsuit
QJI, Groenlandia,Ikamiut
